Participant ID;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
350_PR;1;2;1;2;6;2;3;2;1;4;12;5;6;7;3;9;10;3;10
350_TR;8;10;18;10;5;3;10;4;5;2;15;10;10;7;3;11;12;6;18
350_Performance;1;3;5;3;8;3;12;2;4;4;14;5;11;3;4;15;7;3;15
350_Effort;7;8;18;2;7;2;4;4;4;5;13;3;9;5;4;15;11;5;18
350_Frustration;1;1;18;5;2;2;13;2;1;2;14;4;11;2;1;16;8;3;17
400_Used File;a;f;b;i;e;b;c;d;a;g;b;g;a;b;c;e;f;a;b
400_Question 1;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja
400_Question 2;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Ja
400_Question 3;Nein;Ja;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Nein;Nein
400_MR;15;12;18;2;5;4;11;3;7;16;15;10;12;5;12;17;15;14;20
400_PR;3;2;1;3;6;2;3;1;1;13;16;7;7;4;5;14;13;6;13
400_TR;10;10;19;10;3;3;9;2;6;2;17;19;9;6;5;16;15;14;20
400_Performance;5;3;5;1;5;10;12;2;7;17;19;10;11;2;8;10;13;9;20
400_Effort;15;11;18;4;6;4;4;2;4;15;19;8;12;5;5;13;14;15;20
400_Frustration;5;1;19;1;7;5;13;1;2;6;20;12;12;2;8;15;12;10;20
450_Used File;d;c;f;a;a;d;f;a;d;e;i;a;i;a;f;g;i;e;e
450_Question 1;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja
450_Question 2;Nein;Ja;Ja;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja
450_Question 3;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Nein
450_MR;8;19;18;17;4;3;16;5;9;15;9;9;14;9;13;15;16;16;20
450_PR;1;2;1;5;11;3;3;2;1;10;9;4;10;8;15;17;15;5;13
450_TR;8;17;19;4;11;3;9;3;8;2;10;13;14;10;13;14;16;14;20
450_Performance;3;14;17;19;12;4;12;5;5;18;1;4;11;4;10;11;11;13;10
450_Effort;10;15;16;10;9;3;2;4;7;15;8;10;13;7;15;12;16;14;20
450_Frustration;1;6;15;10;5;2;12;2;4;8;2;5;13;3;5;11;14;12;20
500_Used File;g;i;c;c;h;c;h;i;g;i;c;e;h;f;i;i;a;h;i
500_Question 1;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein
500_Question 2;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja
500_Question 3;Ja;Nein;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein
500_MR;18;18;16;19;5;5;15;6;10;10;16;15;15;9;17;15;19;18;19
500_PR;2;2;1;8;11;4;5;2;1;9;12;5;10;9;15;13;15;4;12
500_TR;18;18;18;10;5;4;13;4;9;2;17;18;12;11;15;12;19;15;19
500_Performance;5;3;14;18;15;5;13;3;5;8;16;5;9;3;13;8;10;11;15
500_Effort;19;8;16;16;10;3;6;4;11;9;16;10;14;9;17;10;15;15;18
500_Frustration;4;1;17;17;8;3;13;1;5;4;19;2;16;4;10;9;15;12;17
550_Used File;i;d;i;d;b;a;e;c;c;c;h;c;e;d;b;a;g;g;g
550_Question 1;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja
550_Question 2;Nein;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Nein;Nein
550_Question 3;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Nein;Nein;Nein
550_MR;18;20;19;20;8;3;12;5;17;15;14;14;16;16;20;16;20;18;20
550_PR;2;2;1;15;12;4;5;4;1;12;15;5;13;17;20;14;16;6;11
550_TR;16;19;20;18;10;5;10;3;8;2;18;18;19;17;20;15;20;18;20
550_Performance;4;15;16;20;19;12;10;4;12;10;11;7;14;12;17;9;18;15;18
550_Effort;15;13;15;16;5;5;4;4;10;13;16;15;17;16;20;11;19;15;20
550_Frustration;3;8;16;18;12;12;9;2;3;8;11;4;15;9;19;13;17;15;20
600_Used File;b;h;e;h;f;e;i;f;h;d;e;h;c;g;h;b;e;b;a
600_Question 1;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja
600_Question 2;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Nein
600_Question 3;Nein;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Ja;Nein;Ja;Nein;Ja
600_MR;20;18;20;20;14;4;12;7;9;18;18;4;19;17;20;18;20;19;20
600_PR;1;2;1;10;8;6;5;2;1;18;15;5;16;18;20;18;16;9;10
600_TR;20;18;20;1;10;7;12;6;13;2;19;18;18;18;20;15;20;18;20
600_Performance;19;10;13;17;7;10;9;3;12;14;18;2;18;12;19;16;18;18;20
600_Effort;20;17;18;13;14;4;3;5;12;18;20;7;19;12;20;15;17;15;17
600_Frustration;15;4;15;6;4;4;10;2;3;14;20;1;19;8;18;18;18;16;20
